"","videoclip","trial","subjID","duration.on","proportion.on"
"1","shallow_yes","fam1","S4_1",18.645,1
"2","medium_no","fam1","S4_1",15.345,1
"3","medium_yes","fam1","S4_1",17.6,1
"4","deep_no","fam1","S4_1",7.7,1
"5","deep_no","fam2","S4_1",15.235,1
"6","medium_yes","fam2","S4_1",18.7,1
"7","medium_no","fam2","S4_1",14.575,1
"8","shallow_yes","fam2","S4_1",9.35,1
"9","shallow_yes","fam3","S4_1",17.82,0.979289940828402
"10","medium_no","fam3","S4_1",11.99,0.892086330935252
"11","medium_yes","fam3","S4_1",9.295,1
"12","deep_no","fam3","S4_1",7.59,1
"13","deep_no","fam4","S4_1",7.59,1
"14","medium_yes","fam4","S4_1",3.685,0.52755905511811
"15","shallow_yes","fam5","S4_1",9.405,1
"16","deep_no","fam6","S4_1",3.135,0.487179487179487
"17","shallow_yes","fam1","S4_11",18.579,1
"18","medium_no","fam1","S4_11",15.29,1
"19","medium_yes","fam1","S4_11",17.875,1
"20","deep_no","fam1","S4_11",7.59,1
"21","deep_no","fam2","S4_11",15.18,1
"22","medium_yes","fam2","S4_11",18.645,1
"23","medium_no","fam2","S4_11",13.64,0.949275362318841
"24","shallow_yes","fam2","S4_11",9.24,0.988235294117647
"25","shallow_yes","fam3","S4_11",16.797,0.950442477876106
"26","medium_no","fam3","S4_11",15.29,1
"27","medium_yes","fam3","S4_11",18.26,1
"28","deep_no","fam3","S4_11",7.59,1
"29","deep_no","fam4","S4_11",15.125,1
"30","medium_yes","fam4","S4_11",18.755,1
"31","medium_no","fam4","S4_11",14.685,1
"32","shallow_yes","fam4","S4_11",9.295,1
"33","shallow_yes","fam5","S4_11",9.35,1
"34","medium_no","fam5","S4_11",6.05,0.797101449275362
"35","medium_yes","fam5","S4_11",9.295,1
"36","deep_no","fam5","S4_11",4.785,0.62589928057554
"37","deep_no","fam6","S4_11",5.83,0.768115942028985
"38","medium_yes","fam6","S4_11",9.295,1
"39","medium_no","fam6","S4_11",3.52,0.524590163934426
"40","deep_no","fam1","S4_12",7.656,1
"41","medium_yes","fam1","S4_12",9.35,1
"42","medium_no","fam1","S4_12",7.04,0.761904761904762
"43","shallow_yes","fam2","S4_12",18.634,1
"44","medium_no","fam2","S4_12",15.235,1
"45","medium_yes","fam2","S4_12",16.17,1
"46","deep_no","fam2","S4_12",7.59,1
"47","deep_no","fam3","S4_12",12.87,0.923913043478261
"48","medium_yes","fam3","S4_12",16.72,0.947058823529412
"49","medium_no","fam3","S4_12",14.08,0.963768115942029
"50","shallow_yes","fam3","S4_12",9.295,1
"51","shallow_yes","fam4","S4_12",4.51,0.677685950413223
"52","deep_no","fam5","S4_12",7.205,0.949275362318841
"53","medium_yes","fam5","S4_12",8.745,0.935294117647059
"54","medium_no","fam5","S4_12",7.59,1
"55","shallow_yes","fam5","S4_12",5.17,0.712121212121212
"56","shallow_yes","fam6","S4_12",8.69,0.93491124260355
"57","medium_no","fam6","S4_12",7.645,1
"58","medium_yes","fam6","S4_12",6.27,0.670588235294118
"59","shallow_yes","fam1","S4_13",18.535,1
"60","medium_no","fam1","S4_13",15.29,1
"61","medium_yes","fam1","S4_13",17.38,1
"62","deep_no","fam1","S4_13",7.645,1
"63","deep_no","fam2","S4_13",13.09,0.928057553956835
"64","medium_yes","fam2","S4_13",18.645,1
"65","medium_no","fam2","S4_13",15.29,1
"66","shallow_yes","fam2","S4_13",8.91,0.958579881656805
"67","shallow_yes","fam3","S4_13",9.35,1
"68","medium_no","fam3","S4_13",7.59,1
"69","medium_yes","fam3","S4_13",5.115,0.673913043478261
"70","deep_no","fam4","S4_13",7.645,1
"71","medium_yes","fam4","S4_13",4.895,0.654411764705882
"72","shallow_yes","fam5","S4_13",18.535,1
"73","medium_no","fam5","S4_13",15.18,1
"74","medium_yes","fam5","S4_13",15.95,1
"75","deep_no","fam5","S4_13",7.59,1
"76","deep_no","fam6","S4_13",14.245,0.967509025270758
"77","medium_yes","fam6","S4_13",18.59,1
"78","medium_no","fam6","S4_13",15.235,1
"79","shallow_yes","fam6","S4_13",7.7,0.823529411764706
"80","shallow_yes","fam1","S4_16",18.612,1
"81","medium_no","fam1","S4_16",15.246,1
"82","medium_yes","fam1","S4_16",17.721,1
"83","deep_no","fam1","S4_16",7.656,1
"84","deep_no","fam2","S4_16",12.738,0.915948275862069
"85","medium_yes","fam2","S4_16",17.193,0.959435626102293
"86","medium_no","fam2","S4_16",15.312,1
"87","shallow_yes","fam2","S4_16",9.339,1
"88","shallow_yes","fam3","S4_16",12.705,0.84070796460177
"89","medium_no","fam3","S4_16",7.623,1
"90","medium_yes","fam3","S4_16",9.372,1
"91","deep_no","fam3","S4_16",7.656,1
"92","deep_no","fam4","S4_16",7.568,1
"93","medium_yes","fam4","S4_16",9.438,1
"94","medium_no","fam4","S4_16",4.389,0.57492795389049
"95","shallow_yes","fam5","S4_16",7.821,0.845422116527943
"96","deep_no","fam6","S4_16",6.633,0.87012987012987
"97","medium_yes","fam6","S4_16",8.877,0.941656942823804
"98","medium_no","fam6","S4_16",7.37,0.964028776978417
"99","deep_no","fam1","S4_19",15.18,1
"100","medium_yes","fam1","S4_19",18.7,1
"101","medium_no","fam1","S4_19",12.87,0.920863309352518
"102","shallow_yes","fam1","S4_19",9.405,1
"103","shallow_yes","fam2","S4_19",18.645,1
"104","medium_no","fam2","S4_19",14.355,0.971119133574007
"105","medium_yes","fam2","S4_19",17.985,1
"106","deep_no","fam2","S4_19",6.655,0.876811594202899
"107","deep_no","fam3","S4_19",11.77,0.89051094890511
"108","medium_yes","fam3","S4_19",16.555,0.943952802359882
"109","medium_no","fam3","S4_19",15.07,1
"110","shallow_yes","fam3","S4_19",8.525,0.911764705882353
"111","shallow_yes","fam4","S4_19",8.69,0.93491124260355
"112","medium_no","fam4","S4_19",7.59,1
"113","medium_yes","fam4","S4_19",9.35,1
"114","deep_no","fam4","S4_19",7.59,1
"115","deep_no","fam5","S4_19",6.27,0.826086956521739
"116","medium_yes","fam5","S4_19",9.295,1
"117","medium_no","fam5","S4_19",7.59,1
"118","shallow_yes","fam5","S4_19",6.27,0.716981132075472
"119","shallow_yes","fam6","S4_19",9.295,1
"120","medium_no","fam6","S4_19",5.94,0.776978417266187
"121","medium_yes","fam6","S4_19",4.565,0.633587786259542
"122","deep_no","fam1","S4_20",11.99,0.894927536231884
"123","medium_yes","fam1","S4_20",16.258,0.935217903415783
"124","medium_no","fam1","S4_20",14.355,0.971119133574007
"125","shallow_yes","fam1","S4_20",9.108,0.98220640569395
"126","shallow_yes","fam2","S4_20",9.306,1
"127","medium_no","fam2","S4_20",5.093,0.668109668109668
"128","medium_yes","fam2","S4_20",9.372,1
"129","deep_no","fam2","S4_20",5.83,0.688311688311688
"130","deep_no","fam3","S4_20",6.27,0.826086956521739
"131","medium_yes","fam3","S4_20",5.005,0.7109375
"132","shallow_yes","fam4","S4_20",8.118,0.875444839857651
"133","medium_no","fam4","S4_20",6.743,0.884559884559885
"134","medium_yes","fam4","S4_20",3.091,0.584199584199584
"135","deep_no","fam5","S4_20",6.963,0.913419913419913
"136","deep_no","fam1","S4_21",15.246,1
"137","medium_yes","fam1","S4_21",18.645,1
"138","medium_no","fam1","S4_21",14.949,1
"139","shallow_yes","fam1","S4_21",9.306,1
"140","shallow_yes","fam2","S4_21",12.969,0.861878453038674
"141","medium_no","fam2","S4_21",7.623,1
"142","medium_yes","fam2","S4_21",8.745,0.939716312056738
"143","deep_no","fam2","S4_21",7.689,1
"144","deep_no","fam3","S4_21",7.59,1
"145","medium_yes","fam3","S4_21",6.402,0.685512367491166
"146","shallow_yes","fam4","S4_21",5.445,0.653896961690885
"147","deep_no","fam5","S4_21",6.006,0.78448275862069
"148","medium_yes","fam5","S4_21",7.777,0.82981220657277
"149","medium_no","fam5","S4_21",6.402,0.835007173601148
"150","shallow_yes","fam5","S4_21",5.247,0.60997442455243
"151","shallow_yes","fam6","S4_21",3.245,0.453846153846154
"152","shallow_yes","fam1","S4_22",9.339,1
"153","medium_no","fam1","S4_22",7.656,1
"154","medium_yes","fam1","S4_22",9.273,1
"155","deep_no","fam1","S4_22",5.511,0.719827586206897
"156","deep_no","fam2","S4_22",15.213,1
"157","medium_yes","fam2","S4_22",16.038,0.929328621908127
"158","medium_no","fam2","S4_22",15.246,1
"159","shallow_yes","fam2","S4_22",7.711,0.828605200945626
"160","shallow_yes","fam3","S4_22",21.945,0.928994082840237
"161","medium_no","fam3","S4_22",11.506,0.877344877344877
"162","medium_yes","fam3","S4_22",14.883,0.897240164415737
"163","deep_no","fam3","S4_22",12.342,0.90301724137931
"164","deep_no","fam4","S4_22",7.656,1
"165","shallow_yes","fam5","S4_22",4.807,0.662121212121212
"166","deep_no","fam6","S4_22",5.786,0.761215629522431
"167","shallow_yes","fam1","S4_23",17.05,0.958579881656805
"168","medium_no","fam1","S4_23",12.045,0.895306859205776
"169","medium_yes","fam1","S4_23",12.32,0.829411764705882
"170","deep_no","fam1","S4_23",6.105,0.81021897810219
"171","deep_no","fam2","S4_23",15.18,1
"172","medium_yes","fam2","S4_23",10.285,0.775811209439528
"173","medium_no","fam2","S4_23",11.99,0.892086330935252
"174","shallow_yes","fam2","S4_23",6.985,0.70957095709571
"175","shallow_yes","fam3","S4_23",12.76,0.843195266272189
"176","medium_no","fam3","S4_23",9.515,0.847389558232932
"177","medium_yes","fam3","S4_23",7.755,0.834319526627219
"178","deep_no","fam3","S4_23",7.59,1
"179","deep_no","fam4","S4_23",6.325,0.827338129496403
"180","shallow_yes","fam5","S4_23",7.645,0.822485207100592
"181","medium_no","fam5","S4_23",4.895,0.640287769784173
"182","medium_yes","fam5","S4_23",6.16,0.662721893491124
"183","deep_no","fam5","S4_23",3.08,0.5
"184","deep_no","fam6","S4_23",11.495,0.88
"185","medium_yes","fam6","S4_23",1.265,0.538205980066445
"186","medium_no","fam6","S4_23",5.335,0.697841726618705
"187","shallow_yes","fam6","S4_23",8.415,0.905325443786982
"188","deep_no","fam1","S4_26",11.44,0.876811594202899
"189","medium_yes","fam1","S4_26",18.15,0.985294117647059
"190","medium_no","fam1","S4_26",6.38,0.70863309352518
"191","shallow_yes","fam1","S4_26",7.535,0.805882352941176
"192","shallow_yes","fam2","S4_26",15.235,0.908554572271386
"193","medium_no","fam2","S4_26",7.645,1
"194","medium_yes","fam2","S4_26",9.35,1
"195","deep_no","fam2","S4_26",7.59,1
"196","deep_no","fam3","S4_26",11.77,0.88768115942029
"197","medium_yes","fam3","S4_26",9.35,1
"198","medium_no","fam3","S4_26",6.105,0.798561151079137
"199","shallow_yes","fam3","S4_26",7.37,0.788235294117647
"200","shallow_yes","fam4","S4_26",9.02,0.964705882352941
"201","medium_no","fam4","S4_26",5.885,0.76978417266187
"202","deep_no","fam5","S4_26",6.6,0.869565217391304
"203","medium_yes","fam5","S4_26",3.3,0.5
"204","medium_no","fam5","S4_26",5.335,0.697841726618705
"205","shallow_yes","fam6","S4_26",8.91,0.958579881656805
"206","deep_no","fam1","S4_27",10.01,0.827338129496403
"207","medium_yes","fam1","S4_27",17.765,0.976401179941003
"208","medium_no","fam1","S4_27",15.29,1
"209","shallow_yes","fam1","S4_27",9.878,1
"210","shallow_yes","fam2","S4_27",9.405,1
"211","medium_no","fam2","S4_27",7.59,1
"212","medium_yes","fam2","S4_27",9.295,1
"213","deep_no","fam2","S4_27",4.455,0.58273381294964
"214","deep_no","fam3","S4_27",7.59,1
"215","medium_yes","fam3","S4_27",8.525,0.911764705882353
"216","medium_no","fam3","S4_27",5.39,0.705035971223022
"217","shallow_yes","fam4","S4_27",7.975,0.852941176470588
"218","medium_no","fam4","S4_27",6.16,0.8
"219","deep_no","fam5","S4_27",6.16,0.805755395683453
"220","shallow_yes","fam6","S4_27",8.195,0.881656804733728
"221","medium_no","fam6","S4_27",7.645,1
"222","medium_yes","fam6","S4_27",8.14,0.870588235294118
"223","deep_no","fam6","S4_27",6.05,0.79136690647482
"224","deep_no","fam1","S4_29",15.18,1
"225","medium_yes","fam1","S4_29",16.335,0.938053097345133
"226","medium_no","fam1","S4_29",7.656,1
"227","shallow_yes","fam1","S4_29",8.151,0.872791519434629
"228","shallow_yes","fam2","S4_29",9.339,1
"229","medium_no","fam2","S4_29",6.358,0.834054834054834
"230","deep_no","fam3","S4_29",15.246,1
"231","medium_yes","fam3","S4_29",18.744,1
"232","medium_no","fam3","S4_29",11.616,0.880952380952381
"233","shallow_yes","fam3","S4_29",9.339,1
"234","shallow_yes","fam4","S4_29",9.064,0.97055359246172
"235","medium_no","fam4","S4_29",5.159,0.675792507204611
"236","deep_no","fam5","S4_29",7.557,1
"237","medium_yes","fam5","S4_29",8.624,0.923439340400471
"238","medium_no","fam5","S4_29",6.116,0.793152639087018
"239","shallow_yes","fam6","S4_29",8.679,0.929328621908127
"240","shallow_yes","fam1","S4_31",18.645,1
"241","medium_no","fam1","S4_31",15.345,1
"242","medium_yes","fam1","S4_31",17.27,1
"243","deep_no","fam1","S4_31",7.645,1
"244","deep_no","fam2","S4_31",15.07,1
"245","medium_yes","fam2","S4_31",18.7,1
"246","medium_no","fam2","S4_31",14.63,1
"247","shallow_yes","fam2","S4_31",9.295,1
"248","shallow_yes","fam3","S4_31",9.46,0.752941176470588
"249","medium_no","fam3","S4_31",15.29,1
"250","medium_yes","fam3","S4_31",15.015,0.902654867256637
"251","deep_no","fam3","S4_31",6.875,0.899280575539568
"252","deep_no","fam4","S4_31",12.65,0.916666666666667
"253","medium_yes","fam4","S4_31",8.745,0.940828402366864
"254","medium_no","fam4","S4_31",6.105,0.804347826086957
"255","shallow_yes","fam4","S4_31",9.35,1
"256","shallow_yes","fam5","S4_31",9.35,1
"257","medium_no","fam5","S4_31",3.63,0.573913043478261
"258","deep_no","fam6","S4_31",12.32,0.905797101449275
"259","medium_yes","fam6","S4_31",5.775,0.674418604651163
"260","medium_no","fam6","S4_31",7.04,0.920863309352518
"261","shallow_yes","fam6","S4_31",8.8,0.941176470588235
"262","deep_no","fam1","S4_4",15.279,1
"263","medium_yes","fam1","S4_4",18.744,1
"264","medium_no","fam1","S4_4",14.718,1
"265","shallow_yes","fam1","S4_4",9.306,1
"266","shallow_yes","fam2","S4_4",18.546,1
"267","medium_no","fam2","S4_4",15.235,1
"268","medium_yes","fam2","S4_4",9.35,1
"269","deep_no","fam2","S4_4",7.59,1
"270","deep_no","fam3","S4_4",15.147,1
"271","medium_yes","fam3","S4_4",8.536,0.749357326478149
"272","medium_no","fam3","S4_4",6.996,0.915107913669065
"273","shallow_yes","fam3","S4_4",8.019,0.867857142857143
"274","shallow_yes","fam4","S4_4",9.284,1
"275","deep_no","fam5","S4_4",7.59,1
"276","medium_yes","fam5","S4_4",9.35,1
"277","medium_no","fam5","S4_4",3.267,0.45
"278","shallow_yes","fam1","S4_5",18.579,1
"279","medium_no","fam1","S4_5",14.718,0.980603448275862
"280","medium_yes","fam1","S4_5",16.203,1
"281","deep_no","fam1","S4_5",7.623,1
"282","deep_no","fam2","S4_5",15.312,1
"283","medium_yes","fam2","S4_5",13.53,0.860915492957746
"284","medium_no","fam2","S4_5",15.246,1
"285","shallow_yes","fam2","S4_5",9.339,1
"286","shallow_yes","fam3","S4_5",7.546,0.810874704491726
"287","deep_no","fam4","S4_5",15.279,1
"288","medium_yes","fam4","S4_5",17.127,0.95929203539823
"289","medium_no","fam4","S4_5",12.012,0.892241379310345
"290","shallow_yes","fam4","S4_5",9.372,1
"291","shallow_yes","fam5","S4_5",6.501,0.732342007434944
"292","deep_no","fam6","S4_5",14.223,0.965442764578834
"293","medium_yes","fam6","S4_5",18.711,1
"294","medium_no","fam6","S4_5",13.86,0.952586206896552
"295","shallow_yes","fam6","S4_5",9.306,1
