reliability,sex,subj,agem,experiment,exp,cost,HV_side,first_test,first_fam,first_test_scene,prefam_config,prefam_firstevent,prefam_1,prefam_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg.lower,avg.higher,lower1,lower2,higher1,higher2,prop.lower,prop.higher,pref.raw,pre.low,pre.high
,m,S1_1,10.5,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,60,60,59.12,9.75,32.8,6.38,14.2,60,51.48,308.87,33.19,23.5,6.38,60,32.8,14.2,0.48573176,0.51426824,LV,,
,f,S1_10,9.9,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,50.06,23.11,13.93,14.26,54.04,20.82,11.82,19.46,36.89,221.36,32.93,20.14,54.04,11.82,20.82,19.46,0.54987904,0.45012096,LV,,
,m,S1_11,9.8,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,48.73,60,29.89,36.65,52.47,18.15,34.18,30.82,49.21,295.27,24.49,43.33,18.15,30.82,52.47,34.18,0.3655816,0.6344184,HV,,
,m,S1_12,9.9,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,60,37.15,13.48,51.68,33.26,45.95,5.65,14.07,47.05,282.31,19.46,30.01,33.26,5.65,45.95,14.07,0.35320382,0.64679618,HV,,
,f,S1_13,10.167,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,60,40.67,28.57,10.77,7.22,6.86,6.5,NA,43.34,260.01,6.86,6.86,6.86,NA,7.22,6.5,0.48721591,0.51278409,HV,,
,f,S1_14,9.967,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,11.14,56.06,60,32.97,28.77,17.37,9.95,12.22,6.71,41.49,248.94,14.8,8.33,17.37,12.22,9.95,6.71,0.64066707,0.35933293,LV,,
,f,S1_15,9.867,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,50.16,60,14.5,60,26.02,15.39,30.25,27.23,9.85,NA,37.68,226.07,27.23,20.05,27.23,NA,30.25,9.85,0.47372999,0.52627001,LV,,
,f,S1_16,9.633,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,60,60,38.72,60,41.59,16.9,48.4,56.45,338.72,45,38.45,41.59,48.4,60,16.9,0.57529259,0.42470741,LV,,
,f,S1_17,9.733,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,60,4.78,60,10.76,12.44,13.5,60,10.31,42.59,255.54,11.91,36.22,13.5,10.31,12.44,60,0.33353405,0.66646596,HV,,
,f,S1_18,9.433,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,37.77,60,54.53,12.2,20.6,54.48,9.27,8.19,47.42,284.5,31.34,14.94,54.48,8.19,20.6,9.27,0.59734908,0.40265092,LV,,
,m,S1_19,10.267,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,48.29,5.38,12.77,19.32,11.17,11.4,11.8,10.24,34.29,205.76,11.49,10.82,11.17,11.8,11.4,10.24,0.51514747,0.48485253,LV,,
,f,S1_2,9.6,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,60,37.83,25.99,56.68,38.89,17.48,60,26.73,7.2,46.57,279.39,22.11,33.6,17.48,26.73,60,7.2,0.50670251,0.49329749,HV,,
,m,S1_20,10.533,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,60,46.36,18.56,10.22,13.45,46.77,18.05,57.4,13.34,34.77,208.59,52.09,15.7,46.77,57.4,18.05,13.34,0.76647934,0.23352066,LV,,
,f,S1_21,10.067,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,16.2,25.8,60,6.78,16.06,36.1,8.3,8.53,8.41,30.81,184.84,22.32,8.36,36.1,8.53,8.3,8.41,0.65830249,0.34169751,LV,,
,f,S1_22,10.433,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,29.98,19.33,46.7,22.1,8.45,8.92,30.49,46,276.01,19.47,15.51,8.45,30.49,22.1,8.92,0.52512863,0.47487137,LV,,
,m,S1_23,9.967,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,60,29.65,17.41,25.62,19.66,25.89,8.67,22.46,21.8,21.91,29.71,178.23,22.19,15.24,22.46,21.91,8.67,21.8,0.61137441,0.38862559,LV,,
,f,S1_24,9.667,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,60,7.87,60,9.06,59.25,48.48,30.86,29.82,42.82,256.93,45.06,39.15,59.25,30.86,48.48,29.82,0.52927781,0.47072219,LV,,
,f,S1_3,9.7,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,60,18.18,10.7,60,60,18.46,52.83,44.81,268.88,56.42,39.23,60,52.83,60,18.46,0.62052883,0.37947117,LV,,
,m,S1_4,9.867,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,60,31.28,4.94,4.97,3.77,4.17,15.26,21.75,13.12,24.77,18.19,109.13,23.26,14.19,21.75,24.77,15.26,13.12,0.62070675,0.37929325,LV,,
,m,S1_5,10.1,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,60,60,60,60,60,42.11,45.75,9.08,8.59,60,360,25.6,27.17,42.11,9.08,45.75,8.59,0.49657527,0.50342473,HV,,
,f,S1_6,9.733,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,60,54.82,41.28,19.1,23.59,6.99,6.06,7.47,49.2,295.2,14.83,7.23,23.59,6.06,6.99,7.47,0.6096564,0.3903436,LV,,
,m,S1_7,9.9,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,60,12.31,28.68,6.3,60,47.76,32.3,8.25,37.88,227.29,46.15,28.01,60,32.3,47.76,8.25,0.67667017,0.32332983,LV,,
,f,S1_8,9.8,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,55.23,60,60,60,3.31,12.66,1.71,17.33,59.21,355.23,15,2.51,12.66,17.33,3.31,1.71,0.85146273,0.14853727,LV,,
,f,S1_9,10.267,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,60,60,60,60,60,58.83,17.33,58.3,10.47,60,360,58.57,13.9,58.83,58.3,17.33,10.47,0.81010306,0.18989694,LV,,
,m,S2_1,9.8,LUTS.Exp.2,,Ramps,right,HV,LH,,,,,,60,60,35.95,60,60,60,60,21.71,42.63,29.38,55.99,335.95,25.55,51.32,21.71,29.38,60,42.63,0.33684732,0.66315268,HV,,
,f,S2_10,10,LUTS.Exp.2,,Ramps,left,HV,HL,,,,,,60,32.04,44.79,9.57,16.39,8.64,23.13,18.09,41.01,60,28.57,171.43,39.05,32.07,18.09,60,23.13,41.01,0.51643261,0.48356739,LV,,
,m,S2_11,9.633,LUTS.Exp.2,,Ramps,left,LV,LH,,,,,,60,17.3,56.6,8.78,22.8,3.57,18.43,28.93,28.25,37.67,28.18,169.05,23.34,33.3,18.43,28.25,28.93,37.67,0.40884836,0.59115164,HV,,
,f,S2_12,9.9,LUTS.Exp.2,,Ramps,right,HV,HL,,,,,,60,60,33.27,28.59,9.62,11.77,24.52,13.98,60,57.99,33.88,203.25,35.99,42.26,13.98,57.99,24.52,60,0.42729961,0.57270039,HV,,
,f,S2_13,9.833,LUTS.Exp.2,,Ramps,right,LV,LH,,,,,,60,60,27.3,46.19,10.87,2.59,60,28.25,5.63,4.28,34.49,206.95,32.82,16.27,60,5.63,28.25,4.28,0.62399985,0.37600015,LV,,
,f,S2_14,9.467,LUTS.Exp.2,,Ramps,left,HV,LH,,,,,,60,60,49.32,46.89,60,54.65,60,60,58.09,44.37,55.14,330.86,52.19,59.05,60,44.37,60,58.09,0.46652352,0.53347648,HV,,
,f,S2_15,10.2,LUTS.Exp.2,,Ramps,left,LV,HL,,,,,,60,60,17.03,11.44,13.98,22.25,21.76,7.3,16.6,5.53,30.78,184.7,19.18,6.42,21.76,16.6,7.3,5.53,0.74945428,0.25054572,LV,,
,m,S2_16,9.767,LUTS.Exp.2,,Ramps,right,LV,HL,,,,,,60,48.48,23.17,23.41,9.15,33.17,30.07,7.86,19.51,7.85,32.9,197.38,24.79,7.86,30.07,19.51,7.86,7.85,0.75293048,0.24706952,LV,,
,f,S2_17,9.9,LUTS.Exp.2,,Ramps,right,HV,HL,,,,,,36.02,50.71,16.32,60,21.76,3.93,39.69,12.81,8.35,36.23,31.46,188.74,24.52,24.02,12.81,36.23,39.69,8.35,0.52834814,0.47165186,LV,,
,m,S2_18,9.7,LUTS.Exp.2,,Ramps,left,HV,HL,,,,,,60,60,60,9.03,14.43,30.57,16.26,23.82,20.68,10.24,39.01,234.03,17.03,18.47,23.82,10.24,16.26,20.68,0.4627443,0.5372557,HV,,
,f,S2_19,10.433,LUTS.Exp.2,,Ramps,right,LV,HL,,,,,,60,45.49,42.38,23.51,21.49,5.23,33.26,NA,17.45,9.93,33.02,198.1,25.36,9.93,33.26,17.45,NA,9.93,0.63732652,0.36267348,LV,,
,m,S2_2,9.833,LUTS.Exp.2,,Ramps,right,LV,HL,,,,,,44.15,12.16,16.31,8.73,7.64,9.01,30.34,27.63,42.5,37.63,16.33,98,36.42,32.63,30.34,42.5,27.63,37.63,0.52688114,0.47311886,LV,,
,f,S2_20,9.467,LUTS.Exp.2,,Ramps,left,LV,LH,,,,,,60,27.99,15.84,2.43,29.42,3.41,60,60,22.41,51.34,23.18,139.09,41.21,55.67,60,22.41,60,51.34,0.4019322,0.5980678,HV,,
,f,S2_21,10.1,LUTS.Exp.2,,Ramps,left,LV,HL,,,,,,60,29.45,24.84,10.06,15.27,28.13,24.35,12.74,7.14,6.29,27.96,167.75,15.75,9.52,24.35,7.14,12.74,6.29,0.59407838,0.40592162,LV,,
,m,S2_22,9.867,LUTS.Exp.2,,Ramps,right,HV,LH,,,,,,60,60,41.53,15.53,33.75,10.47,29.16,60,10.92,7.48,36.88,221.28,33.74,20.04,60,7.48,29.16,10.92,0.53973463,0.46026538,LV,,
,f,S2_23,9.767,LUTS.Exp.2,,Ramps,left,HV,LH,,,,,,60,19.66,17.57,21.47,3.46,21.45,27.88,15.62,3.77,NA,23.94,143.61,15.62,15.83,15.62,NA,27.88,3.77,0.35908046,0.64091954,HV,,
,f,S2_24,9.733,LUTS.Exp.2,,Ramps,right,LV,LH,,,,,,60,60,4.02,60,60,23.88,60,42.29,14.26,13.03,44.65,267.9,37.13,27.66,60,14.26,42.29,13.03,0.55455167,0.44544834,LV,,
,f,S2_3,9.933,LUTS.Exp.2,,Ramps,left,LV,HL,,,,,,60,60,60,60,15.08,3.85,60,8.28,13.89,32.51,43.16,258.93,36.95,20.4,60,13.89,8.28,32.51,0.58904404,0.41095597,LV,,
,m,S2_4,10.167,LUTS.Exp.2,,Ramps,left,HV,HL,,,,,,60,60,60,60,60,18.09,21.19,44.45,7.86,29.89,53.02,318.09,37.17,14.53,44.45,29.89,21.19,7.86,0.73448332,0.26551669,LV,,
,f,S2_5,10.333,LUTS.Exp.2,,Ramps,right,HV,HL,,,,,,60,60,48.59,11.72,3.57,8.68,14.14,12.25,4.93,5.25,32.09,192.56,8.75,9.54,12.25,5.25,14.14,4.93,0.48995404,0.51004596,HV,,
,f,S2_6,9.8,LUTS.Exp.2,,Ramps,right,LV,LH,,,,,,60,31.16,9.79,29.74,47.46,27.64,56.53,16.97,36.16,6.94,34.3,205.79,46.35,11.96,56.53,36.16,16.97,6.94,0.80404738,0.19595262,LV,,
,m,S2_7,9.8,LUTS.Exp.2,,Ramps,left,LV,LH,,,,,,60,36.56,60,22.63,22.55,3.49,12.98,8.55,NA,NA,34.21,205.23,12.98,8.55,12.98,NA,8.55,NA,0.6028797,0.3971203,LV,,
,f,S2_8,10,LUTS.Exp.2,,Ramps,left,HV,LH,,,,,,60,58.74,51.45,60,47.52,60,60,60,60,60,56.29,337.71,60,60,60,60,60,60,0.5,0.5,HV,,
,m,S2_9,9.733,LUTS.Exp.2,,Ramps,right,HV,LH,,,,,,60,60,60,9.64,25.98,3.89,39.64,60,60,32.25,36.59,219.51,46.13,49.82,60,32.25,39.64,60,0.47588065,0.52411935,HV,,
,m,S3_1,9.733,LUTS.Exp.3,,Gap,left,LV,HL,,,,,,60,23.1,60,47.9,24.6,43,39.24,5.47,5.54,4.98,43.1,258.6,22.39,5.23,39.24,5.54,5.47,4.98,0.70213599,0.29786401,LV,,
,f,S3_10,9.767,LUTS.Exp.3,,Gap,right,LV,LH,,,,,,60,21.8,15,26.9,18.6,24.7,29.14,16.7,7.34,13.75,27.83,167,18.24,15.23,29.14,7.34,16.7,13.75,0.4918608,0.5081392,LV,,
,f,S3_11,10.3,LUTS.Exp.3,,Gap,left,HV,HL,,,,,,60,33.5,11.2,15.1,6.1,3.8,23.33,10.68,8.19,6.86,21.62,129.7,8.77,15.76,10.68,6.86,23.33,8.19,0.38491962,0.61508038,HV,,
,m,S3_12,10.3,LUTS.Exp.3,,Gap,right,HV,LH,,,,,,60,60,15.39,55.87,3.58,3.84,5.25,6.86,6.87,7.14,33.11,198.68,7,6.06,6.86,7.14,5.25,6.87,0.53805498,0.46194502,LV,,
,f,S3_13,10.333,LUTS.Exp.3,,Gap,left,HV,LH,,,,,,60,5.4,60,12.7,60,60,17.56,40.4,17.44,12.08,43.02,258.1,26.24,17.5,40.4,12.08,17.56,17.44,0.55312326,0.44687674,LV,,
,m,S3_14,10.267,LUTS.Exp.3,,Gap,left,LV,LH,,,,,,13.2,30.5,21.5,7,36.2,18.4,11.1,14.75,7.13,6.94,21.13,126.8,9.12,10.85,11.1,7.13,14.75,6.94,0.46807617,0.53192383,HV,,
,m,S3_15,9.667,LUTS.Exp.3,,Gap,right,HV,HL,,,,,,34,22.3,33.6,11.7,4.8,12,6.35,3.73,NA,NA,19.73,118.4,3.73,6.35,3.73,NA,6.35,NA,0.37003968,0.62996032,HV,,
,f,S3_16,10.067,LUTS.Exp.3,,Gap,left,HV,LH,,,,,,60,60,4.2,29,17.6,11.3,30.81,7.36,6.75,6.89,30.35,182.1,7.13,18.78,7.36,6.89,30.81,6.75,0.34897678,0.65102322,HV,,
,f,S3_17,9.667,LUTS.Exp.3,,Gap,left,HV,HL,,,,,,60,5,32.4,39.8,34,6.1,60,36.88,42.92,21.61,29.55,177.3,29.25,51.46,36.88,21.61,60,42.92,0.35778006,0.64221994,HV,,
,f,S3_18,10.367,LUTS.Exp.3,,Gap,right,LV,HL,,,,,,60,43.6,28.9,4.1,9.5,13.4,15.9,10.29,18.14,7.18,26.58,159.5,17.02,8.74,15.9,18.14,10.29,7.18,0.66176582,0.33823418,LV,,
,f,S3_19,10.467,LUTS.Exp.3,,Gap,left,HV,HL,,,,,,60,40.4,21.5,33.7,12.8,7.7,31.21,20.72,6.61,5.89,29.35,176.1,13.31,18.91,20.72,5.89,31.21,6.61,0.43509933,0.56490067,HV,,
,m,S3_2,9.867,LUTS.Exp.3,,Gap,right,HV,LH,,,,,,60,27.1,39,60,36.9,20,48.22,37.16,6.52,7.83,40.5,243,22.5,27.37,37.16,7.83,48.22,6.52,0.49043767,0.50956233,HV,,
,m,S3_20,10.433,LUTS.Exp.3,,Gap,right,HV,HL,,,,,,23.6,44.2,23.3,13.4,14.6,5,37.47,32.24,29.39,31.4,20.68,124.1,31.82,33.43,32.24,31.4,37.47,29.39,0.48950989,0.51049011,HV,,
,m,S3_21,9.933,LUTS.Exp.3,,Gap,left,LV,HL,,,,,,50.2,16,13.4,15.5,60,24,60,25.44,32.78,8.67,29.85,179.1,46.39,17.06,60,32.78,25.44,8.67,0.74653976,0.25346024,LV,,
,m,S3_22,10.5,LUTS.Exp.3,,Gap,right,HV,HL,,,,,,60,60,5.5,41,3.6,40.8,8.92,42.02,NA,NA,35.15,210.9,42.02,8.92,42.02,NA,8.92,NA,0.82489203,0.17510797,LV,,
,f,S3_23,9.933,LUTS.Exp.3,,Gap,right,LV,LH,,,,,,47.8,24.2,22.2,6.6,17.4,9.8,46.99,27.75,24.92,3.43,21.33,128,35.96,15.59,46.99,24.92,27.75,3.43,0.75386261,0.24613739,LV,,
,m,S3_24,9.833,LUTS.Exp.3,,Gap,right,HV,HL,,,,,,60,49,5.4,60,60,60,46.24,16.62,9.73,20.95,49.07,294.4,18.79,27.99,16.62,20.95,46.24,9.73,0.47362618,0.52637382,HV,,
,f,S3_25,10,LUTS.Exp.3,,Gap,left,HV,LH,,,,,,60,60,41.6,18.3,11.2,8.5,5.71,5,3.95,6.71,33.27,199.6,5.86,4.83,5,6.71,5.71,3.95,0.54815466,0.45184534,LV,,
,m,S3_26,10.433,LUTS.Exp.3,,Gap,left,LV,LH,,,,,,60,60,13.3,60,15,60,60,40.5,18.18,21.11,44.72,268.3,39.09,30.81,60,18.18,40.5,21.11,0.52986404,0.47013596,LV,,
,m,S3_27,10.333,LUTS.Exp.3,,Gap,left,LV,LH,,,,,,60,60,51.1,23,30.7,60,31.69,8.52,8.5,9.1,47.47,284.8,20.1,8.81,31.69,8.5,8.52,9.1,0.63553348,0.36446652,LV,,
,m,S3_28,9.567,LUTS.Exp.3,,Gap,left,LV,LH,,,,,,56.2,22.6,33.7,7.3,12.8,6.8,21.15,7.27,4.81,13.69,23.23,139.4,12.98,10.48,21.15,4.81,7.27,13.69,0.50209712,0.49790289,LV,,
,m,S3_29,9.667,LUTS.Exp.3,,Gap,right,HV,LH,,,,,,60,38.6,28.9,21.2,49,60,16.52,11.1,20.02,53.89,42.95,257.7,32.5,18.27,11.1,53.89,16.52,20.02,0.56550636,0.43449364,LV,,
,f,S3_3,10.167,LUTS.Exp.3,,Gap,right,LV,HL,,,,,,60,60,60,60,59.4,40.7,60,54.97,60,24.38,56.68,340.1,60,39.68,60,60,54.97,24.38,0.61647212,0.38352788,LV,,
,m,S3_30,9.933,LUTS.Exp.3,,Gap,left,HV,HL,,,,,,60,60,60,60,40.02,60,28.2,24.52,11.1,6.88,56.67,340.02,15.7,19.65,24.52,6.88,28.2,11.1,0.42387301,0.57612699,HV,,
,f,S3_31,9.6,LUTS.Exp.3,,Gap,right,LV,LH,,,,,,60,7.6,4.7,7.5,2.9,27,26.35,25.16,25.12,9.93,18.28,109.7,25.74,17.55,26.35,25.12,25.16,9.93,0.6141208,0.3858792,LV,,
